"•ÈÀ""Data Source""",World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/11/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Antigua and Barbuda,ATG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1596.412496,,,,,,,,,,,,,,1652.02281,1659.298734,1713.251944,1729.91931,,,,,,,,
Australia,AUS,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,3063.554271,3115.787084,3172.974865,3284.050959,3349.414167,3463.215578,3546.53798,3692.80795,3763.558415,3792.934763,4063.41137,3989.629744,4035.206344,4264.271226,4294.161626,4345.871446,4405.702986,4671.195674,4629.618471,4683.853176,4737.482031,4694.676425,4817.489524,4555.146203,4651.712429,4602.95653,4623.739075,4772.370465,4702.841606,5001.103102,5061.508459,4927.78159,4959.214919,5147.53665,5089.788967,5129.223661,5393.580635,5469.599989,5553.653466,5610.344711,5644.064951,5446.973214,5569.640992,5568.764941,5598.088178,5564.087169,5709.324617,5868.347097,5964.626668,5862.551944,5648.696586,5638.499225,5558.609429,5586.337977,5483.33728,
Austria,AUT,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1546.261468,1554.034906,1675.873621,1823.995225,1855.085155,1851.843564,1902.756408,1920.212124,2045.828123,2181.632309,2418.210129,2508.520919,2627.322496,2830.946802,2730.437326,2654.848729,2866.97592,2797.421922,2893.022299,3138.916143,3067.01192,2897.009398,2830.221781,2843.405568,2953.68815,3051.597062,3061.588862,3174.745392,3204.562182,3138.983488,3233.948957,3408.505033,3239.063967,3248.981834,3227.843764,3366.178058,3571.908189,3542.52143,3598.703689,3582.988753,3562.325143,3749.749108,3765.282963,3964.418551,3998.738982,4104.071439,4091.946307,4029.626953,4040.79639,3830.967949,4079.864969,3943.432412,3930.583556,3917.847483,3752.175544,
Azerbaijan,AZE,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3165.494902,3087.874708,2464.597399,2175.284456,1947.691984,1809.154327,1513.673193,1444.319459,1485.153418,1369.111898,1403.433268,1410.965455,1414.528111,1476.590884,1539.230121,1599.960676,1559.568746,1411.55734,1520.313919,1334.166178,1279.552594,1369.350999,1472.897391,1474.003433,,
Burundi,BDI,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,2519.49732,2570.815623,2810.061148,3043.306993,3021.647212,3116.033563,3051.297429,3182.923458,3590.004258,3877.044364,4135.19977,4099.95532,4473.929513,4720.784112,4617.498595,4317.935658,4622.233118,4589.52441,4826.564957,4976.777099,4743.42206,4415.358604,4208.257802,4156.257407,4334.902427,4474.062993,4633.920017,4727.686395,4770.948398,4798.926451,4844.478273,5056.01817,5092.965785,4954.283193,5225.406829,5304.050653,5586.812446,5579.510757,5659.693494,5663.93456,5713.577369,5682.027051,5461.402903,5659.328866,5656.631517,5606.218645,5517.036473,5389.281647,5505.215093,5258.956496,5598.313574,5214.646176,4890.189613,5038.984274,4810.293688,
Benin,BEN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,371.8034779,380.8120291,380.1613724,379.3767214,381.1135843,360.4156747,363.7461243,368.2519364,364.6698129,363.7819444,353.2705982,355.338045,354.9856724,353.328844,359.8249046,352.7764501,347.3065918,345.6965558,336.8585926,332.1785602,325.4525545,321.3494561,316.8727899,312.3268255,308.5759327,348.2312601,350.7897205,336.2403351,340.656786,285.3022851,293.8776523,305.049237,311.193226,314.3467281,305.4478646,349.2575604,368.2160843,365.2429787,372.1213828,384.1679918,384.3340552,388.5171952,393.3838147,,
Burkina Faso,BFA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,85.60804427,86.90376698,92.52964441,93.95672497,94.41841136,98.11028094,97.86076311,98.45851462,99.51565887,103.2686793,102.563587,105.4829616,105.1831212,103.9106868,106.9819118,111.5079227,106.8668351,114.378025,117.024228,120.1871777,115.7090604,119.4054817,123.3431827,126.0789254,134.260286,132.1986545,135.2100161,138.0533611,137.0852887,139.036146,149.1852608,149.9331828,155.25487,155.8676362,159.2911869,168.2081896,173.5809986,180.1027832,187.4549901,200.6474587,205.9616567,213.425948,215.5167195,,
Bulgaria,BGR,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,2228.687051,2262.786549,2378.253739,2463.244052,2665.45943,2780.331763,2954.266739,3084.452042,3200.498984,3203.610097,3185.509537,3309.206425,3370.132324,3387.274223,3419.767677,3450.941716,3411.073395,3488.292754,3426.942205,3237.35265,2536.644005,2396.007266,2590.011252,2519.859145,2746.667734,2745.710003,2504.12268,2425.946246,2230.660301,2277.367967,2417.782442,2401.376609,2475.063964,2420.529019,2570.732697,2657.201826,2666.111445,2648.867056,2351.655053,2416.364922,2616.618365,2513.352381,2327.436524,,
