"Country Name","Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Australia","AUS","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","85.9066921051014","86.2519118081624","87.0699343177534","87.1282176890453","87.9758065870172","88.0419910201296","89.241768668373","89.5008498800854","90.1046147901523","90.2696204282356","91.5311097444868","91.1777751858804","91.3055885105058","92.0978248911432","91.8273159566514","91.7809079296036","91.8876225773847","92.6790197830382","92.6549893999076","92.8209410670809","93.1825120512617","92.7755789006832","92.9254455862167","92.8494286413552","93.2067142551973","92.8788547299231","93.4217424604167","93.7386091842654","93.5784282818826","93.852171114404","93.911285686017","93.6887180362575","94.3426600738012","93.7583456095362","93.8864831164866","93.8317701657678","93.6482207629656","93.5126508898552","93.87865070879","93.9279120716678","93.9577260758979","93.7411271732843","93.6934485065647","93.88602451318","94.0682126712093","94.2158521823241","94.2809138584982","94.293103951311","94.3472900335871","95.5100585349929","95.2064814499875","94.9956649590493","94.2956994229274","93.8956684414946","93.3219025482916","",
"Austria","AUT","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","85.4407470888762","86.6094140073205","87.4039052282535","87.8694242222934","89.088399872067","87.9776218275116","87.487815914146","87.745472224895","88.4945394525215","89.511758479888","88.9920425798706","90.1996936930923","90.1237315946295","89.7744624110537","88.6524826113177","88.3989888891821","89.5996842441772","88.1923619073637","87.6089528998579","87.0076277971248","85.8952161640127","83.9637602213638","82.7415870578848","82.4458922245564","81.8351143304607","81.0428122917776","79.7483965569474","79.5788581060508","74.6931538340652","76.5443492778046","79.0925854140845","79.0861771559611","77.1913343532616","76.963007340631","77.5395389909859","77.9342343105683","78.1462286341374","78.3680960851748","78.4683638669133","76.5497431294366","76.4814529378497","76.8427329344795","77.3255598635004","78.5293253474267","77.9507153517801","76.9980056028859","74.6979082356985","72.701759061148","71.5931889846242","69.6794666008072","70.1200991431839","69.0866915769087","66.5897384452544","66.1158376874701","64.6587494125741","",
"Azerbaijan","AZE","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9049942153701","99.9029526940148","99.3210106510741","98.5850255250983","98.6647960587745","98.6597331823098","98.3942668679038","97.8980980107919","98.2379538358473","98.0526344009183","98.2879019249229","98.3921182899603","97.3146739728947","96.9492359889219","97.134998981277","97.1165437641463","97.6056206360843","97.764698530017","98.3024770701215","97.9165307110792","96.9324916140822","97.8625715488742","98.4767015665508","98.2112327190642","","",
"Burundi","BDI","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","99.9220585763079","","","","","99.9268000818201","99.9304317568556","99.7885364364997","99.9009190916956","","99.8288252764552","","","","99.8939104223414","95.9133119867883","94.8136198266922","93.2292938831387","93.4549363407709","93.9613535145082","93.3178152605069","92.0389361672655","89.8843923110409","84.3810633825755","82.6687776127733","79.1509524031172","77.0657691337378","76.4491832362475","76.0851088925547","77.0178499906805","75.9886516282696","76.6304864950013","76.1793328280653","76.1876646835669","77.8171313289281","77.560667854291","77.8459212029996","76.1404452451685","77.2777834366694","76.0090748611127","76.0927559926524","75.8858424746036","74.8462800086377","75.5797597930546","75.3554168236115","75.0225047339011","74.1178464545566","72.8999654063773","73.6930299595298","73.0949896392612","73.4950691844096","70.9031506919033","71.3533558990073","71.0702666949352","72.7410495719673","",
"Benin","BEN","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","9.04045148410195","11.4224789658217","11.450271920699","11.5809138487745","12.3083925317516","7.69540816622725","8.92907490115918","9.82017818013937","9.7257345435338","9.6979039591882","7.29178469835359","8.53732390333295","8.28318391801911","8.48530161427358","10.1516597262917","8.71648235359086","7.52161469070614","7.27781008792889","5.45782439573539","4.83899802265073","3.8547050809111","3.93128468023306","3.83551065425908","3.86555942305149","3.78088065705484","13.3320500821327","17.3218748641596","17.3304954808638","21.0072842277264","25.4861878174381","27.4652770202784","29.6471225919176","32.0774443011719","32.8223793969496","31.0497602314262","36.3254111857721","39.6692503365258","39.0758613914131","39.8016789157276","41.5541857358705","41.653796022033","42.2229689357224","42.8779350041706","","",
"Burkina Faso","BFA","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","21.3797084279832","20.7064232290252","24.21142072085","25.4494154452184","24.684872684774","27.4255111979353","27.2929588648206","28.2340554125717","29.4209028267759","32.1460692464068","32.712615985052","34.9602407250899","33.3856773591873","34.9155652264842","37.3267274595712","39.0868474493487","43.8731951040438","44.1850353336689","45.0727052027822","45.5242869773416","44.671039180831","46.7280276168041","49.4568421395676","50.2510969411006","54.4091859282298","56.0774174106019","56.5733508486152","57.6288678437732","57.2751260395643","57.9667861882647","60.7760763830309","61.1368397201766","62.5291239775239","62.7345990441028","63.588105423673","65.5638848940116","66.6702376687932","67.8464217563273","69.2978729241945","71.2455501485281","71.9592751843179","72.9694013647713","73.1653006907637","","",
"Bulgaria","BGR","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","97.5216127997793","97.3557606341508","96.3901452320256","95.2854931691735","93.8700484375333","91.3621126576582","90.9242075278629","91.4181615193064","91.4282200436628","91.3631076199035","88.0447575372127","87.4775167194143","86.3727948327309","86.1370499485096","85.6505349396562","86.7532758325434","86.7850377184941","84.2101157446559","84.9239683151731","84.1211555653564","81.8730048286446","82.4889241407183","81.9196818576677","79.8478003596429","78.7710016942074","77.4812401154173","76.8216465897374","76.1415318295048","74.7372620633026","72.3850411748848","73.1454631425634","70.4665561092248","74.0906022391055","73.9769293902061","72.9612547766738","72.4792439088174","77.7206583262712","76.1421363788758","73.0238178824845","73.1607782360012","75.0390918967722","72.1871003864391","70.1868946970193","","",
"Bahrain","BHR","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","100","100","","99.9999999999999","99.9999597201031","","99.9999669033956","100","99.999967776747","","100","100","99.9999759698508","100","","100","99.9999797176288","","99.9999805933958","100","","99.9999842539126","99.9999844502487","","","100","","100","100","100","100","99.999988939476","99.9999903474279","99.9976555546268","99.9903633034596","","99.8817919902292","99.8814621642045","99.9179351334485","","99.9893486355507","","",
