"Country Name","Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Australia","AUS","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","1.09212263493946","1.21669314531432","1.2406431433593","1.57816560113222","1.57271193993793","1.80835267053134","1.47021660855134","1.5044074397264","1.44745930183689","1.54794515629572","1.50403712348847","1.9296491018688","1.87181149807773","1.71997139158968","1.93076965109408","2.09709487648912","2.10286803623699","1.71519701092152","1.81006721289916","1.96420949863599","1.62704567438289","1.76252455587166","1.64053933585427","1.543305553382","1.49723637875791","1.68938335419568","1.796414987493","1.6113058527786","1.6861316536777","1.57501768212998","1.50279221518671","1.69225070882342","1.61388123171963","1.6528807025789","1.63695176032461","1.56170974309062","1.42455404467646","1.48344623964102","1.35329739157447","1.39348720487576","1.38466906102506","1.44940958279329","1.36013896160138","1.38225942215057","1.3441770913431","1.2885028517971","1.33987407912075","1.3184582884027","1.15299205178457","1.2231624447138","1.5134566851793","1.86624600537321","1.77929453353778","2.19038523734773","2.48121263046578","",
"Austria","AUT","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","8.96433606078842","8.74810076971722","8.33747393346803","7.46812217765857","8.15798141688318","10.0239822366126","10.5190542594129","10.5564819520464","10.1109511530166","8.63780077500766","9.87784061157947","7.41245496440203","7.27837361181035","7.50842060640286","9.19615337772777","10.0327714930007","7.93738990984767","9.95787284506415","9.63071575781186","10.0160897922489","10.669122203785","12.0987252757196","12.3950108263963","12.2415021000553","11.1163288382375","11.52575714245","11.5468956419979","12.8856688017016","12.6681098355166","12.6880203129942","10.9876509150808","10.3152718510127","11.9060267930796","12.4045902127983","12.1200556718237","12.0667819359582","10.5212242284061","11.1992274335213","11.3637031850373","12.5325534030858","12.9329238887879","11.8832602409404","11.7338043903137","9.31194233449867","10.2702591708273","10.0432787668226","9.95805358589749","10.489477624527","10.7724141618715","12.0411495753387","10.7813332913657","10.0543949199376","12.7344454697517","12.4780943609652","12.9148932660137","",
"Azerbaijan","AZE","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.629200409605989","0.673385107039985","0.82579325169243","1.27968050554237","1.06304036003908","0.962473003810376","1.12562331684771","1.30052839265866","1.42772063251429","1.18503710858119","1.1679162454508","0.977629407277112","1.50283927794853","1.74639798322098","1.85309818886303","1.92731906666081","1.63651820375977","1.67839552837337","1.44074371774357","1.66422204907403","2.55873422402187","1.83212247204062","1.14379944223289","0.923792021222448","","",
"Burundi","BDI","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","0.0641396127540527","0.0688430192377993","0.0581234059482243","0.0871262356294945","0.0818037001273478","0.0793242141232911","0.0938285555744319","0.147447689189912","0.106804319260383","0.0682200542091798","0.0901906910363612","0.029057327252374","0.0422286138896533","0.0750447551550704","0.131215823303057","4.21488874257091","5.78380910866818","6.93898760431511","6.90684896027997","6.10622623675964","7.04403741939804","7.77354893384914","9.91075866394663","15.4070943373527","16.9939775398555","20.5000914713824","22.5296740737671","23.5179430135898","23.8444661095495","22.5834188381837","23.112035431831","22.1295817122886","22.2013361859462","21.921175260594","20.0930373241844","20.1077093864935","19.9481309011229","21.8035651145155","20.9003590177089","22.1137966644941","21.5039496299468","20.7443658714724","21.942678399735","21.084896211466","20.9922241999173","21.1994797619791","21.0082286037974","22.093883355054","20.3156746514479","21.9267252638319","20.8158193988426","22.3977225789461","20.1608519546757","20.7768711570901","17.5362999867118","",
"Benin","BEN","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00770789238885959","0.00781393742944173","0.00749065627730061","0.00867517035109221","0.00815727994551696","0.00760435428863476","0.00721020428353206","0.00345311493050606","0.00344098412145874","0","0","0","0","0","0","0","0","","",
"Burkina Faso","BFA","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","0.264691336485476","0.256265085372031","0.448075726781158","0.318482306386136","0.557392007156785","0.593749751055281","0.513083898815082","0.574375912641431","0.640971027555964","0.596712523167568","0.626875304763448","0.496575540966268","0.613810521095289","0.819778399898662","0.638673202999274","0.363220976039523","0.423895696984841","0.5036017283299","0.653864195249535","0.596837102504401","0.573993037184424","0.516551165284828","0.373690149489639","0.498430438839392","0.20120569962062","0.397353187863078","0.370076063875916","0.427083611419937","0.405898957574329","0.352899899894635","0.427901065553724","0.315365857981277","0.299344485116704","0.293417916504122","0.282921004102078","0.264391142260527","0.253142917439309","0.305984682114686","0.127620064442047","0.206084370337696","0.237348948466806","0.201660100033332","0.264829873570293","","",
"Bulgaria","BGR","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","0.98092226561611","0.928418936097961","1.07799663139465","1.96802608978716","3.77093630984052","6.38230971815607","7.06230953169571","6.58546962662552","6.70960936173551","6.78417901530045","9.48924853239824","10.3788665329299","11.6115221338219","11.8580164512863","11.7949133486945","10.8220785539918","11.3037352765986","14.0465471448963","13.2389836319606","14.1130639208032","16.6493844293268","15.5795769731597","17.3558447178571","19.3945384284939","20.3703651569755","21.6419507187887","23.3950539524536","23.3498992212833","23.8335739451894","26.7513729619475","27.1215535505438","28.9756501071306","24.6852581238686","24.7878072429325","26.5441232124256","26.8494489890189","20.4820847462548","22.2510150000015","24.8511175281871","25.3722986294817","24.204158880619","25.2550188372669","25.7096447627531","","",
"Bahrain","BHR","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Bahamas, The","BHS","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.74755115569491","6.99532344829988","6.58789194335934","5.49208530725131","20.7289998620269","20.9677764779265","25.4072810950063","14.8578698684715","11.7027906489237","14.3564519268345","10.0796322329927","10.6083960338333","10.2819520929953","8.79939095373526","10.6919756015502","10.2347292457882","9.50373062870221","6.48718742493994","7.02104054356443","8.62978028040344","10.6496092544011","5.27995597820854","5.4232276440535","9.64201447659469","","",
"Belarus","BLR","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00378041037937165","0.0034921272157581","0.00395248389822403","0.00518691643817305","0.00610814496833521","0.00695015149309862","0.00541440161575817","0.00712448462874689","0.00969723641246229","0.00675760344116687","0.0094490488323751","0.0104546326685794","0.00991326056003721","0.00929746134902843","0.0109166608891247","0.011891923567595","0.0108699353948058","0.0110975808564149","0.0123134036123231","0.014589910417196","0.0143733850833329","0.0126019632754663","0.0214303127117395","0.0460325688857083","","",
"Belize","BLZ","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","7.56615783435534","7.23348814124154","7.004624667856","6.95768926223018","6.23730022223978","5.96985849050788","5.89480504956054","5.75810982283312","5.34150913233077","3.73924208134154","3.87378783397763","3.64923333487747","3.83980012320423","3.92115234184501","3.89638160831074","4.02064460244704","4.13314520092496","4.33568270595013","4.08389809990214","3.88602177137188","4.16253105423942","3.81524787538143","4.23658937041524","3.37218726163234","2.88398657017799","3.02656411994035","3.0476710643797","2.99786433306278","3.50143469095729","3.40995036032087","4.79704129966089","4.14066159055449","3.592524071816","3.87723522041923","3.24919858846922","2.85582361981496","3.76491669418136","3.5275485342763","3.36745809463295","2.93926080351579","2.9934811430684","2.60924918477872","2.67180034379838","","",
