year,emissions
2010,2153.599016
2012,2208.353317
2014,2141.176222
2016,2060.329307
2018,1973.803447
2020,1889.799885
2022,1746.406193
2024,1646.893568
2026,1539.136456
2028,1417.610426
2030,1323.773725
2032,1251.059257
2034,1207.036055
2036,1147.878202
2038,1083.48709
2040,965.0641768
2042,841.5991132
2044,714.2024866
2046,594.881771
2048,477.867041
2050,378.2383159
